time,aqi,pm2_5,pm10,so2,co,no2,o3,cityname
2017/8/2,81,60,100,19,1.1,43,75,成都
2017/8/3,97,57,144,11,0.7,37,77,成都
2017/8/4,83,54,115,5,0.8,33,66,成都
2017/8/5,58,33,66,7,0.8,31,42,成都
2017/8/6,88,65,127,9,1,42,54,成都
2017/8/7,119,90,155,18,1.1,48,38,成都
2017/8/8,91,68,114,14,1.1,50,99,成都
2017/8/9,125,95,156,24,2,73,85,成都
2017/8/10,103,77,121,18,1,59,62,成都
2017/8/11,72,53,75,10,0.8,34,98,成都
2017/8/12,106,80,128,15,1.1,59,76,成都
2017/8/13,110,83,127,13,1.3,65,115,成都
2017/8/14,138,106,168,27,1.4,65,111,成都
2017/8/15,126,96,136,17,1.2,56,100,成都
2017/8/16,128,98,148,17,1.3,58,67,成都
2017/8/17,83,59,91,13,1.1,48,139,成都
2017/8/18,71,52,86,11,1.1,46,85,成都
2017/8/19,58,37,66,12,1.1,46,72,成都
2017/8/20,61,35,71,10,1,49,112,成都
2017/8/21,78,42,74,9,0.9,42,134,成都
2017/8/22,66,48,82,16,1,44,105,成都
2017/8/23,62,38,68,19,1,44,114,成都
2017/8/24,62,33,56,9,0.9,34,114,成都
2017/8/25,77,56,91,12,1,47,96,成都
2017/8/26,85,63,109,20,1.1,63,115,成都
2017/8/27,131,107,196,31,1.5,80,76,成都
2017/8/28,146,112,179,24,1.6,72,39,成都
2017/8/29,113,85,127,10,1.4,50,138,成都
2017/8/30,106,80,126,16,1.3,61,161,成都
2017/8/31,119,90,148,24,1.2,68,129,成都
2017/9/1,120,70,121,19,0.9,45,182,成都
2017/9/2,80,39,83,8,0.7,33,136,成都
2017/9/3,106,44,89,10,0.7,40,167,成都
2017/9/4,74,30,70,12,0.6,31,129,成都
2017/9/5,43,20,43,5,0.6,22,82,成都
2017/9/6,44,14,31,13,0.7,27,87,成都
2017/9/7,57,22,37,8,0.6,24,108,成都
2017/9/8,51,33,52,5,0.8,36,84,成都
2017/9/9,50,32,50,5,0.9,43,95,成都
2017/9/10,53,30,51,7,0.7,37,104,成都
2017/9/11,60,40,67,9,0.8,46,112,成都
2017/9/12,82,44,83,10,0.8,42,138,成都
2017/9/13,100,68,149,24,1.1,71,138,成都
2017/9/14,110,76,170,24,1,68,141,成都
2017/9/15,108,79,138,13,1,50,169,成都
2017/9/16,145,93,188,18,1.4,72,210,成都
2017/9/17,122,77,151,18,1.1,54,184,成都
2017/9/18,76,54,103,16,0.8,32,121,成都
2017/9/19,53,26,57,12,0.7,37,64,成都
2017/9/20,70,46,89,25,0.9,54,101,成都
2017/9/21,57,32,64,19,0.7,50,63,成都
2017/9/22,49,23,49,8,0.7,48,82,成都
2017/9/23,67,46,83,15,0.8,53,101,成都
2017/9/24,109,48,83,14,0.7,42,170,成都
2017/9/25,92,55,96,9,0.9,58,150,成都
2017/9/26,118,86,145,12,1.2,71,180,成都
2017/9/27,148,100,172,27,1.3,67,213,成都
2017/9/28,141,103,171,24,1.1,70,205,成都
2017/9/29,130,99,173,23,1.3,80,186,成都
2017/9/30,117,88,160,23,1.1,72,162,成都
2017/10/1,79,24,44,7,0.6,26,135,成都
2017/10/2,95,39,86,13,0.8,44,154,成都
2017/10/3,73,48,95,12,0.8,52,124,成都
2017/10/4,93,20,44,17,0.6,28,152,成都
2017/10/5,88,54,93,8,0.7,32,145,成都
2017/10/6,131,72,126,12,0.8,50,194,成都
2017/10/7,137,94,146,12,1,45,201,成都
2017/10/8,104,27,60,7,0.6,41,164,成都
2017/10/9,141,53,121,18,0.9,69,205,成都
2017/10/10,130,65,137,22,0.9,57,193,成都
2017/10/11,103,38,155,15,0.5,24,127,成都
2017/10/12,113,54,176,14,0.6,44,167,成都
2017/10/13,158,65,160,23,0.8,55,223,成都
2017/10/14,176,83,175,25,1,67,241,成都
2017/10/15,103,58,106,10,0.8,36,163,成都
2017/10/16,78,37,71,9,0.7,31,133,成都
2017/10/17,86,46,76,7,0.8,30,143,成都
2017/10/18,135,58,109,21,1,51,199,成都
2017/10/19,165,71,121,18,1,63,230,成都
2017/10/20,139,70,118,14,1,55,203,成都
2017/10/21,74,28,50,6,0.7,35,129,成都
2017/10/22,72,17,34,7,0.6,33,126,成都
2017/10/23,131,32,66,13,0.7,46,194,成都
