city,AQI,PM2.5,PM10,CO,NO2,SO2,O3,lng,lat,timestamp,空气质量,省份,所属省份空气质量排名
三亚,80,59,81,0.7,27,6,64,109.5227713,18.25777591,2023-02-28,良好,海南省,12
山南,165,125,160,1.0,32,11,56,92.22087273,28.35498238,2023-02-28,中度污染,西藏区,28
汕头,59,42,61,0.6,18,9,86,116.7286503,23.38390845,2023-02-28,良好,广东省,9
汕尾,57,40,61,0.8,26,9,82,115.3729243,22.7787305,2023-02-28,良好,广东省,9
商丘,80,52,110,0.7,26,11,72,115.6418857,34.43858864,2023-02-28,良好,河南省,19
上海,32,16,32,0.6,25,4,80,121.4878995,31.24916171,2023-02-28,优级,上海市,1
上饶,63,39,75,0.7,22,11,107,117.9554639,28.45762255,2023-02-28,良好,江西省,5
韶关,67,42,83,0.7,35,13,100,113.5944611,24.80296031,2023-02-28,良好,广东省,9
邵阳,63,45,52,0.3,11,8,52,111.4615254,27.23681124,2023-02-28,良好,湖南省,17
深圳,53,24,55,0.5,19,6,84,114.0259737,22.54605355,2023-02-28,良好,广东省,9
深圳,69,45,87,0.8,37,11,96,114.0259737,22.54605355,2023-02-28,良好,广东省,9
石家庄,83,61,112,0.9,40,13,75,114.5220818,38.04895831,2023-02-28,良好,河北省,25
石嘴山,25,5,25,0.3,18,5,65,106.3793372,39.02022328,2023-02-28,优级,宁夏回族自治区,24
寿光,74,48,98,0.6,38,9,62,118.8525335,37.02989185,2023-02-28,良好,山东省,21
双鸭山,166,77,282,0.9,23,9,80,131.1714017,46.65510206,2023-02-28,中度污染,黑龙江,18
朔州,102,76,109,0.6,13,10,90,112.4799277,39.33767197,2023-02-28,轻度污染,山西省,29
松原,75,51,99,0.4,20,8,70,124.8329945,45.13604897,2023-02-28,良好,吉林省,23
苏州,52,23,53,0.5,28,6,80,120.6199071,31.31798737,2023-02-28,良好,新疆维吾尔自治区,8
宿州,62,44,68,0.4,21,11,65,116.9886924,33.63677239,2023-02-28,良好,安徽省,10
随州,58,36,65,0.4,34,5,63,113.3793584,31.71785761,2023-02-28,良好,湖北省,15
